head,relation,tail
C1266629,Etiology_AssociatedWith,C0020268
C1266629,Etiology_AssociatedWith,C0373647
C1266629,Regulatory_Status,C0271725
C0060494,Taxonomy_IsA,C0443077
C0060494,Taxonomy_PartOf,C4521954
C0060494,Taxonomy_PartOf,C0205489
C0060494,Treatment_IndicationUse,C0011616
C0060494,Treatment_IndicationUse,C0011615
C0060494,Treatment_IndicationUse,C0439706
C0060494,Treatment_IndicationUse,C0033860
C0060494,Treatment_IndicationUse,C0719874
C0060494,Etiology_AssociatedWith,C5761437
C0060494,MoA_InhibitionBlockade,C1305754
C0060494,MoA_BindingAffinity,C0373730
C0373730,Etiology_AssociatedWith,C2041384
C0570192,Taxonomy_IsA,C1641843
C0570192,Treatment_IndicationUse,C5419158
C0570192,Etiology_AssociatedWith,C0020268
C0570192,Etiology_AssociatedWith,C0032952
C0570192,Etiology_AssociatedWith,C0016330
C0570192,Etiology_AssociatedWith,C2330097
C0570192,MoA_ModulationOther,C5395526
C0570192,MoA_ModulationOther,C3897870
C0570192,Etiology_AssociatedWith,C0201995
C0570192,Etiology_AssociatedWith,C1271104
C0570192,PK_DistributionProteinBinding,C0201838
C0570192,PK_DistributionProteinBinding,C3544310
C0570192,Clinical_SymptomSign,C0439663
C0570192,Regulatory_Status,C0186196
C0570192,Regulatory_Status,C0271739
C0570192,Regulatory_Status,C1411310
C0020268,Alias_Name,C0020268
C0020268,Taxonomy_ProductOf,C1181303
C0020268,Etiology_AssociatedWith,C0020268
C0020268,Treatment_IndicationUse,C0021053
C0020268,Treatment_IndicationUse,C1709160
C0020268,Etiology_AssociatedWith,C0332464
C0020268,Temporal_DurationResolution,C4321335
C0020268,Taxonomy_PartOf,C4521954
C0020268,Regulatory_Status,C0348080
C0020268,Etiology_AssociatedWith,C0991541
C0020268,Etiology_AssociatedWith,C3653473
C0020268,Etiology_AssociatedWith,C3544310
C0020268,Etiology_AssociatedWith,C0857540
C0020268,Etiology_AssociatedWith,C0729762
C0020268,Etiology_AssociatedWith,C0523744
C0020268,Etiology_AssociatedWith,C0993609
C3272466,Taxonomy_IsA,C0443077
C3272466,Treatment_IndicationUse,C0037274
C3272466,MoA_BindingAffinity,C1841967
C3272466,DrugInteraction,C1135650
C3272466,MoA_ActivationInduction,C5236345
C3272466,Etiology_AssociatedWith,C1371569
C3272466,Etiology_AssociatedWith,C1512646
C3272466,Etiology_CausedBy,C1516026
C3272466,Etiology_CausedBy,C0042397
C3272466,DrugInteraction,C0183739
C3272466,Etiology_AssociatedWith,C5781226
C3272466,Taxonomy_PartOf,C4521954
C3272466,Taxonomy_PartOf,C1373012
C3272466,Taxonomy_PartOf,C0205489
C0722742,Taxonomy_IsA,C0744425
C0722742,Etiology_AssociatedWith,C0020268
C0722742,Etiology_AssociatedWith,C0003392
C0722742,Taxonomy_PartOf,C4521954
C0722742,Regulatory_Status,C0086418
